Accuracy,DNN architecture
CP16_DND64_relu_16_DO0.4_E14,0.295
CP16_DND128_relu_32_DO0.6_E12,0.295
CP8_DND128_relu_32_DO0.6_E10,0.292
CP8_DND128_relu_32_DO0.4_E23,0.291
CP64_DND128_relu_32_DO0.6_E23,0.284
CP16_DND128_relu_32_DO0.4_E24,0.281
CP64_DND128_relu_32_DO0.4_E35,0.278
CP32_DND128_relu_32_DO0.4_E19,0.275
CP32_DND128_relu_32_DO0.6_E33,0.272
CP32_DND64_relu_16_DO0.4_E32,0.263
CP8_DND64_relu_16_DO0.4_E7,0.262
CP64_DND64_relu_16_DO0.6_E25,0.258
CP16_DND64_relu_16_DO0.6_E14,0.255
CP64_DND64_relu_16_DO0.4_E41,0.242
CP32_DND64_relu_16_DO0.6_E27,0.238
CP8_DND64_relu_16_DO0.6_E12,0.237
