Accuracy,DNN architecture,Forced Acc.
BLSTM_CP32_32_FBN_SS64_DL0.8_V2_E44,0.571,0.747
BLSTM_CP8_FBN_SS32_DL0.8_E31,0.436,0.745
BLSTM_CP64_64_FBN_SS64_DL0.8_V2_E34,0.509,0.734
BLSTM_CP32_FBN_SS32_DL0.8_E19,0.406,0.696
BLSTM_CP32_32_FBN_SS16_DL0.8_V2_E60,0.355,0.696
BLSTM_CP64_64_FBN_SS16_DL0.8_V2_E38,0.335,0.696
BLSTM_CP8_FBN_SS32_DL0.6_E33,0.4,0.691
BLSTM_CP32_FBN_SS32_DL0.6_E16,0.385,0.688
BLSTM_CP8_FBN_SS16_DL0.6_E62,0.322,0.675
BLSTM_CP16_FBN_SS16_DL0.9_E45,0.293,0.657
BLSTM_CP32_FBN_SS16_DL0.8_E34,0.296,0.653
BLSTM_CP16_FBN_SS16_DL0.7_E37,0.291,0.647
BLSTM_CP32_FBN_SS8_DL0.8_E31,0.273,0.646
BLSTM_CP32_FBN_SS16_DL0.6_E20,0.297,0.64
BLSTM_CP8_FBN_SS8_DL0.8_E70,0.265,0.633
BLSTM_CP8_FBN_SS8_DL0.6_E70,0.258,0.626
BLSTM_CP32_FBN_SS8_DL0.8_E40,0.263,0.622
BLSTM_CP8_FBN_SS8_DL0.8_E33,0.231,0.612
BLSTM_CP32_FBN_SS16_DL0.6_E18,0.24,0.609
BLSTM_CP32_FBN_SS8_DL0.6_E20,0.221,0.593
BLSTM_CP32_FBN_SS8_DL0.6_E25,0.22,0.588
BLSTM_CP8_FBN_SS16_DL0.8_E61,0.216,0.588
BLSTM_CP8_FBN_SS16_DL0.6_E68,0.224,0.581
BLSTM_CP8_FBN_SS8_DL0.6_E67,0.208,0.56
BLSTM_CP8_FBN_SS16_DL0.8_E68,0.176,0.545
