Accuracy,DNN architecture,Forced Acc.
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E23,0.61,0.843
ResBLSTM_C32_15_1024_FBN_SS64_DL0.8_V2_E20,0.594,0.819
ResBLSTM_C32_15_512_FBN_SS64_DL0.8_V2_E14,0.576,0.813
ResBLSTM_C32_15_1024_FBN_SS64_DL0.8_V2_E35,0.53,0.79
ResBLSTM_C32_15_1024_FBN_SS64_DL0.8_V2_E69,0.562,0.784
ResBLSTM_C32_15_512_FBN_SS64_DL0.8_V2_E49,0.547,0.782
ResBLSTM_C32_15_1024_FBN_SS64_DL0.8_V2_E32,0.524,0.781
ResBLSTM_C32_15_512_FBN_SS64_DL0.8_V2_E54,0.566,0.779
ResBLSTM_C32_15_512_FBN_SS64_DL0.8_V2_E38,0.538,0.779
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E54,0.549,0.778
ResBLSTM_C32_15_512_FBN_SS64_DL0.8_V2_E26,0.535,0.777
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E68,0.542,0.777
ResBLSTM_C32_15_512_FBN_SS64_DL0.8_V2_E40,0.527,0.774
ResBLSTM_C32_15_1024_FBN_SS64_DL0.8_V2_E22,0.528,0.774
ResBLSTM_C32_15_1024_FBN_SS64_DL0.8_V2_E31,0.506,0.773
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E61,0.545,0.766
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E62,0.539,0.762
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E34,0.523,0.762
