Accuracy,DNN architecture,Forced Acc.
ResBLSTM_C32_5_1024_FBN_SS64_DL0.8_V2_E57,0.576,0.791
ResBLSTM_C64_5_1024_FBN_SS64_DL0.8_V2_E34,0.572,0.791
ResBLSTM_C32_5_1024_FBN_SS32_DL0.8_V2_E29,0.475,0.789
ResBLSTM_C64_5_1024_FBN_SS32_DL0.8_V2_E29,0.471,0.78
ResBLSTM_C64_10_1024_FBN_SS64_DL0.8_V2_E39,0.528,0.78
ResBLSTM_C32_5_1024_FBN_SS32_DL0.8_V2_E48,0.473,0.77
ResBLSTM_C128_5_1024_FBN_SS64_DL0.8_V2_E34,0.535,0.769
ResBLSTM_C128_5_1024_FBN_SS32_DL0.8_V2_E32,0.435,0.768
ResBLSTM_C32_5_1024_FBN_SS64_DL0.4_V2_E39,0.549,0.766
ResBLSTM_C32_10_1024_FBN_SS64_DL0.8_V2_E36,0.528,0.766
ResBLSTM_C32_5_1024_FBN_SS32_DL0.4_V2_E49,0.499,0.763
ResBLSTM_C64_5_1024_FBN_SS32_DL0.4_V2_E40,0.468,0.763
ResBLSTM_C128_10_1024_FBN_SS32_DL0.8_V2_E28,0.441,0.763
ResBLSTM_C128_10_1024_FBN_SS64_DL0.8_V2_E33,0.522,0.763
ResBLSTM_C32_5_1024_FBN_SS32_DL0.4_V2_E60,0.492,0.759
ResBLSTM_C64_5_1024_FBN_SS64_DL0.4_V2_E39,0.531,0.758
ResBLSTM_C64_10_1024_FBN_SS32_DL0.8_V2_E48,0.442,0.758
ResBLSTM_C64_5_1024_FBN_SS32_DL0.4_V2_E60,0.48,0.756
ResBLSTM_C32_10_1024_FBN_SS32_DL0.8_V2_E37,0.439,0.751
ResBLSTM_C128_5_1024_FBN_SS64_DL0.4_V2_E57,0.507,0.749
ResBLSTM_C128_5_1024_FBN_SS32_DL0.4_V2_E52,0.435,0.737
